"date","geography","geography code","Rural Urban","Variable: All usual residents; measures: Value","Variable: Males; measures: Value","Variable: Females; measures: Value","Variable: Lives in a household; measures: Value","Variable: Lives in a communal establishment; measures: Value","Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value","Variable: Area (Hectares); measures: Value","Variable: Density (number of persons per hectare); measures: Value"
"2011","Kexby BUA","E34000001","Total",340,169,171,340,0,7,20.25,16.8
"2011","Bradfield Heath BUA","E34000002","Total",719,360,359,706,13,6,76.75,9.4
"2011","Huntley BUA","E34000003","Total",1105,528,577,1085,20,12,33.50,33.0
"2011","Swinefleet BUA","E34000004","Total",787,408,379,770,17,12,33.25,23.7
"2011","Foulsham BUA","E34000005","Total",1021,509,512,1008,13,17,41.25,24.8
"2011","Easton (South Norfolk) BUA","E34000006","Total",1514,760,754,1438,76,22,39.25,38.6
"2011","Carlton in Lindrick BUA","E34000007","Total",5456,2602,2854,5421,35,44,198.50,27.5
"2011","Shrewton BUA","E34000008","Total",1723,839,884,1721,2,50,82.00,21.0
"2011","Maiden Newton BUA","E34000009","Total",1268,626,642,1254,14,19,40.50,31.3
"2011","Normanton on Soar BUA","E34000010","Total",448,213,235,448,0,16,25.25,17.7
"2011","Warton BUA","E34000011","Total",1441,700,741,1364,77,19,35.75,40.3
"2011","Hartland BUA","E34000012","Total",910,443,467,910,0,17,26.75,34.0
"2011","Buntingsdale BUA","E34000013","Total",806,412,394,801,5,12,31.50,25.6
"2011","Nonington BUA","E34000014","Total",339,168,171,339,0,4,27.75,12.2
"2011","Madeley Park BUA","E34000015","Total",255,126,129,255,0,4,29.25,8.7
"2011","Dorchester (West Dorset) BUA","E34000016","Total",19060,9215,9845,18489,571,336,492.00,38.7
"2011","Sayers Common BUA","E34000017","Total",869,425,444,869,0,12,26.25,33.1
"2011","Dinghurst BUA","E34000018","Total",309,139,170,291,18,10,36.00,8.6
"2011","Hartnoll BUA","E34000019","Total",264,131,133,264,0,5,30.75,8.6
"2011","Ely BUA","E34000020","Total",19090,9346,9744,18746,344,207,476.75,40.0
"2011","Gilmorton BUA","E34000021","Total",976,497,479,976,0,39,31.75,30.7
"2011","Huttoft BUA","E34000022","Total",585,297,288,562,23,6,27.25,21.5
"2011","West Chinnock BUA","E34000023","Total",592,293,299,592,0,5,29.75,19.9
"2011","Great Tey BUA","E34000024","Total",620,306,314,620,0,11,31.50,19.7
"2011","Little Addington BUA","E34000025","Total",328,167,161,307,21,7,20.75,15.8
"2011","Market Weighton BUA","E34000026","Total",6429,3106,3323,6371,58,75,175.25,36.7
"2011","Downham Market BUA","E34000027","Total",10884,5196,5688,10761,123,111,380.75,28.6
"2011","Kingston St Mary BUA","E34000028","Total",393,178,215,393,0,11,33.50,11.7
"2011","Orlingbury BUA","E34000029","Total",439,221,218,439,0,9,27.00,16.3
"2011","Rode BUA","E34000030","Total",1025,489,536,1025,0,32,50.75,20.2
"2011","Upper Denby BUA","E34000031","Total",715,352,363,715,0,12,26.25,27.2
"2011","Shilton BUA","E34000032","Total",230,120,110,230,0,13,21.25,10.8
"2011","Witcham BUA","E34000033","Total",429,221,208,429,0,12,29.00,14.8
"2011","Read BUA","E34000034","Total",2573,1245,1328,2573,0,58,97.25,26.5
"2011","Salford Priors BUA","E34000035","Total",590,289,301,560,30,12,23.75,24.8
"2011","Hyde Heath BUA","E34000036","Total",1047,509,538,1003,44,24,45.75,22.9
"2011","Padstow BUA","E34000037","Total",2296,1091,1205,2251,45,19,78.25,29.3
"2011","Willoughby (East Lindsey) BUA","E34000038","Total",355,175,180,355,0,4,25.00,14.2
"2011","Penrith BUA","E34000039","Total",15181,7379,7802,14896,285,186,464.75,32.7
"2011","Winterborne Whitechurch BUA","E34000040","Total",757,385,372,757,0,10,27.75,27.3
"2011","Bloxham BUA","E34000041","Total",3374,1686,1688,3164,210,120,117.50,28.7
"2011","Stonebridge BUA","E34000042","Total",249,125,124,249,0,4,25.00,10.0
"2011","Lyng BUA","E34000043","Total",807,406,401,807,0,19,36.75,22.0
"2011","Pawlett BUA","E34000044","Total",892,446,446,892,0,13,33.25,26.8
"2011","Ealand BUA","E34000045","Total",900,458,442,898,2,29,40.00,22.5
"2011","Husthwaite BUA","E34000046","Total",404,196,208,404,0,19,30.25,13.4
"2011","Brough (Eden) BUA","E34000047","Total",751,374,377,750,1,2,32.50,23.1
"2011","Bolsover BUA","E34000048","Total",11754,5721,6033,11651,103,76,356.25,33.0
"2011","Cambridge (Stroud) BUA","E34000049","Total",394,210,184,394,0,5,20.75,19.0
"2011","Witton-le-Wear BUA","E34000050","Total",567,282,285,567,0,11,33.00,17.2
"2011","Moreton on Lugg BUA","E34000051","Total",920,460,460,920,0,15,26.25,35.0
"2011","Buntingford BUA","E34000052","Total",4948,2449,2499,4895,53,80,140.25,35.3
"2011","Low Fulney BUA","E34000053","Total",481,250,231,481,0,7,74.50,6.5
"2011","Felmersham BUA","E34000054","Total",398,195,203,398,0,11,26.00,15.3
"2011","March BUA","E34000055","Total",21051,10184,10867,20796,255,161,635.25,33.1
"2011","Southam BUA","E34000056","Total",6567,3206,3361,6491,76,100,178.00,36.9
"2011","Marston BUA","E34000057","Total",360,177,183,360,0,15,29.25,12.3
"2011","Grimethorpe BUA","E34000058","Total",4672,2298,2374,4569,103,23,128.75,36.3
"2011","Easington (East Riding of Yorkshire) BUA","E34000059","Total",691,333,358,688,3,4,85.50,8.1
"2011","Chudleigh BUA","E34000060","Total",4011,1962,2049,3945,66,73,95.25,42.1
"2011","Slad BUA","E34000061","Total",388,197,191,388,0,11,20.50,18.9
"2011","Catterick BUA","E34000062","Total",3155,1831,1324,2532,623,43,100.50,31.4
"2011","Great Oakley BUA","E34000063","Total",702,355,347,696,6,11,33.00,21.3
"2011","Hemswell BUA","E34000064","Total",391,197,194,391,0,7,26.25,14.9
"2011","Axtown BUA","E34000065","Total",312,144,168,309,3,14,56.50,5.5
"2011","Moor Row BUA","E34000066","Total",787,420,367,787,0,7,21.00,37.5
"2011","Royston BUA","E34000067","Total",15781,7829,7952,15712,69,218,408.50,38.6
"2011","Studley BUA","E34000068","Total",6203,3007,3196,6127,76,69,172.25,36.0
"2011","Wheatley Hill BUA","E34000069","Total",3144,1562,1582,3098,46,17,73.50,42.8
"2011","Fleckney BUA","E34000070","Total",4894,2437,2457,4887,7,72,107.00,45.7
"2011","Tickenham BUA","E34000071","Total",585,294,291,585,0,11,65.00,9.0
"2011","Byers Green BUA","E34000072","Total",858,426,432,856,2,6,22.75,37.7
"2011","Whitwell (Bolsover) BUA","E34000073","Total",3716,1836,1880,3673,43,36,100.75,36.9
"2011","Kingsbury BUA","E34000074","Total",3730,1828,1902,3730,0,37,77.50,48.1
"2011","Hazelbury Bryan BUA","E34000075","Total",445,220,225,445,0,8,33.25,13.4
