Name,Code,All usual residents,Households
ANTRIM,N11000001, 23353 , 9576 
CREGGAN-CRANFIELD,N11000002, 110 , 34 
CRUMLIN,N11000003, 5099 , 1763 
DUNADRY,N11000004, 430 , 190 
GROGGAN,N11000005, 135 , 54 
KILLEAD,N11000006, 81 , 32 
MILLTOWN (ANTRIM),N11000007, 115 , 39 
MONEYGLASS,N11000008, 103 , 38 
PARKGATE,N11000009, 676 , 256 
RANDALSTOWN,N11000010, 5099 , 1991 
TEMPLEPATRICK,N11000011, 1437 , 605 
TOOME,N11000012, 781 , 263 
ARDMILLAN,N11000013, 70 , 25 
BALLOO,N11000014, 189 , 83 
BALLYBARNES,N11000015, 242 , 101 
BALLYCRANBEG,N11000017, 82 , 31 
BALLYDRAIN,N11000018, 123 , 50 
BALLYFRENIS,N11000020, 78 , 31 
BALLYGALGET,N11000021, 90 , 35 
BALLYGOWAN,N11000022, 2957 , 1077 
BALLYHALBERT,N11000023, 1026 , 407 
BALLYSTOCKART,N11000024, 68 , 28 
BALLYWALTER,N11000025, 2027 , 873 
CARROWDORE,N11000026, 960 , 382 
CLOUGHEY,N11000027, 1075 , 431 
COMBER,N11000028, 9078 , 3814 
COTTON,N11000029, 185 , 81 
DONAGHADEE,N11000030, 6869 , 3000 
GLASTRY,N11000031, 59 , 21 
GREYABBEY,N11000032, 939 , 406 
KILLINCHY,N11000033, 539 , 205 
KILMOOD,N11000034, 130 , 46 
KIRCUBBIN,N11000035, 1153 , 471 
KIRKISTOWN,N11000036, 96 , 35 
LISBANE,N11000037, 430 , 178 
LOUGHRIES,N11000038, 188 , 85 
MILLISLE,N11000039, 2318 , 991 
NEWTOWNARDS,N11000040, 28039 , 11533 
PORTAFERRY,N11000041, 2514 , 978 
PORTAVOGIE,N11000042, 2122 , 833 
RUBANE,N11000043, 216 , 78 
WHITEROCK,N11000044, 355 , 141 
ACTON,N11000045, 72 , 28 
AGHORY,N11000046, 50 , 20 
ANNAGHMORE (ARMAGH LGD),N11000047, 75 , 29 
ANNAGHMORE (MOSS ROAD),N11000048, 265 , 93 
ANNAHUGH,N11000049, 275 , 98 
ARDRESS,N11000050, 90 , 39 
ARMAGH,N11000051, 14749 , 5871 
ARTASOOLY,N11000052, 190 , 59 
BLACKWATERTOWN,N11000055, 376 , 150 
BROOMHILL,N11000056, 197 , 91 
CHARLEMONT,N11000058, 109 , 52 
CLADYMORE,N11000059, 139 , 52 
COLLEGELAND,N11000061, 122 , 42 
DARKLEY,N11000062, 224 , 80 
DERRYHALE,N11000063, 360 , 129 
EDENAVEYS,N11000067, 190 , 80 
EGLISH (ARMAGH LGD),N11000068, 100 , 42 
GLENANNE (LISDRUMCHOR),N11000070, 151 , 64 
HAMILTONSBAWN,N11000072, 895 , 343 
KEADY,N11000073, 3036 , 1239 
KILLYLEA,N11000074, 253 , 107 
KILMORE (ARMAGH LGD),N11000075, 190 , 74 
LAURELVALE / MULLAVILLY,N11000076, 1284 , 476 
LOUGHGALL,N11000078, 282 , 116 
LOUGHGILLY,N11000079, 84 , 42 
MADDEN,N11000080, 77 , 31 
MARKETHILL,N11000081, 1652 , 688 
MIDDLETOWN,N11000082, 237 , 91 
MILFORD,N11000083, 569 , 215 
MILLTOWN (AGHORY),N11000084, 118 , 55 
MILLTOWN (BENBURB),N11000085, 108 , 39 
MOUNTNORRIS,N11000086, 155 , 79 
MULLAGHBRACK,N11000087, 54 , 24 
POYNTZPASS,N11000088, 614 , 255 
RICHHILL,N11000089, 2821 , 1076 
