Unit Postcode,All usual residents,Males,Females,Households
BT1 1AA,139,95,44,72
BT1 1GJ,59,30,29,32
BT1 1JJ,*,*,*,*
BT1 1JQ,*,*,*,*
BT1 2FL,11,7,4,4
BT1 2GQ,72,45,27,35
BT1 2JA,84,53,31,40
BT1 2JE,16,9,7,8
BT1 2JH,80,28,52,34
BT1 2LB,50,32,18,34
BT1 2LD,41,29,12,19
BT1 2LS,46,31,15,28
BT1 2NF,*,*,*,*
BT1 3AA,16,9,7,4
BT1 3AF,22,14,8,7
BT1 3AG,70,47,23,41
BT1 3DS,24,14,10,14
BT1 3EP,12,6,6,7
BT1 3ES,50,32,18,24
BT1 3EW,6,2,4,5
BT1 3EZ,101,41,60,43
BT1 3FB,10,5,5,3
BT1 3FF,150,93,57,78
BT1 3GE,76,75,1,0
BT1 3LT,129,80,49,64
BT1 3LX,48,37,11,39
BT1 3NH,*,*,*,*
BT1 3SG,86,59,27,43
BT1 4FJ,7,4,3,4
BT1 4JQ,35,20,15,21
BT1 5AB,*,*,*,*
BT1 6AD,11,5,6,6
BT1 6AR,41,37,4,34
BT1 6AS,56,31,25,28
BT1 6BB,85,48,37,39
BT1 6BD,100,63,37,52
BT1 6BE,13,8,5,5
BT1 6BZ,10,7,3,6
BT1 6DL,*,*,*,*
BT2 7AH,*,*,*,*
BT2 7HF,*,*,*,*
BT2 7JQ,9,8,1,6
BT2 7JS,1,1,0,0
BT2 8EA,104,62,42,45
BT2 8ED,53,28,25,29
BT2 8EN,*,*,*,*
BT2 8EP,141,79,62,72
BT2 8FF,133,89,44,67
BT2 8HB,71,38,33,40
BT2 8HD,*,*,*,*
BT2 8HH,42,24,18,26
BT2 8JA,30,12,18,14
BT2 8JE,9,5,4,7
BT2 8LD,*,*,*,*
BT2 8LE,57,26,31,22
BT2 8LF,18,8,10,8
BT2 8LN,109,65,44,53
BT2 8LP,39,18,21,17
BT2 8LR,31,16,15,12
BT2 8LS,*,*,*,*
BT2 8LU,18,10,8,5
BT2 8LW,45,24,21,24
BT2 8LX,31,17,14,14
BT2 8PS,31,17,14,25
BT2 8PU,43,25,18,16
BT3 9DA,123,71,52,55
BT3 9DB,93,52,41,44
BT3 9DH,22,14,8,14
BT3 9DT,*,*,*,*
BT3 9FB,73,45,28,48
BT3 9FD,29,15,14,14
BT3 9FG,49,29,20,29
BT3 9FJ,23,14,9,15
BT3 9QQ,5,5,0,4
BT4 1AB,14,7,7,6
BT4 1AD,*,*,*,*
BT4 1AG,*,*,*,*
BT4 1AN,11,8,3,11
BT4 1AY,106,46,60,41
BT4 1AZ,37,19,18,15
BT4 1BA,100,53,47,40
BT4 1BB,7,4,3,4
BT4 1BD,32,12,20,13
BT4 1BE,38,15,23,13
BT4 1BH,29,13,16,15
BT4 1BJ,27,13,14,13
BT4 1BP,61,28,33,32
BT4 1BW,19,10,9,12
BT4 1BX,9,6,3,4
BT4 1DE,23,6,17,11
BT4 1DG,51,29,22,21
BT4 1DH,44,19,25,14
BT4 1DJ,26,15,11,20
BT4 1DP,20,10,10,15
BT4 1DQ,22,11,11,6
BT4 1DS,34,17,17,14
BT4 1DT,57,24,33,16
BT4 1DU,72,41,31,38
BT4 1DW,49,22,27,30
BT4 1DY,51,22,29,31
BT4 1DZ,10,7,3,8
BT4 1EA,35,12,23,19
BT4 1ED,68,27,41,32
BT4 1EF,7,3,4,6
BT4 1EG,15,7,8,11
BT4 1EJ,8,3,5,8
BT4 1EL,6,3,3,5
BT4 1EN,84,40,44,34
BT4 1EP,24,13,11,8
BT4 1EQ,55,22,33,31
BT4 1ER,88,38,50,32
BT4 1ES,64,32,32,36
