Settlement,All people,Males,Females,Lives in a household,Lives in a communal establishment,Schoolchild or full-time student aged 4 and over at their non term-time address,Area (hectares),Density (number of persons per hectare)
Aberchirder,"1,237",621,616,"1,237",-,7,40,30.7
Aberdeen,"207,932","102,858","105,074","200,096","7,836","1,310","6,548",31.76
Aberdour,"1,633",822,811,"1,598",35,42,74,21.96
Aberfeldy,"1,986",970,"1,016","1,949",37,11,125,15.93
Aberfoyle,769,379,390,735,34,10,84,9.14
Aberlady,"1,166",558,608,"1,162",4,23,34,34.05
Aberlour,972,461,511,928,44,19,70,13.84
Abernethy,"1,429",698,731,"1,429",-,25,72,19.75
Aboyne,"2,602","1,218","1,384","2,562",40,62,176,14.8
Airth,"1,871",889,982,"1,817",54,11,50,37.14
Alford,"2,142","1,053","1,089","2,131",11,27,85,25.33
Allanton,"1,185",612,573,"1,185",-,4,42,27.9
Alloa,"30,057","14,763","15,294","29,238",819,172,"1,293",23.24
Almondbank,"1,094",538,556,"1,094",-,5,56,19.71
Alness,"5,782","2,790","2,992","5,739",43,31,243,23.77
Alva,"4,773","2,279","2,494","4,770",3,44,163,29.33
Alyth,"2,403","1,131","1,272","2,394",9,9,101,23.86
Annan,"8,960","4,292","4,668","8,872",88,75,266,33.64
Annbank,912,427,485,912,-,3,22,41.59
Anstruther and Cellardyke,"4,932","2,361","2,571","4,865",67,60,182,27.03
Arbroath,"23,902","11,420","12,482","23,592",310,149,783,30.52
Ardersier,"1,150",548,602,"1,150",-,12,43,26.57
Ardrishaig,"1,349",672,677,"1,332",17,26,92,14.67
Ardrossan,"33,071","15,730","17,341","32,684",387,125,"1,046",31.62
Armadale,"11,836","5,769","6,067","11,739",97,41,283,41.82
Auchinleck,"3,819","1,849","1,970","3,741",78,14,201,19.02
Auchterarder,"4,444","2,135","2,309","4,323",121,61,308,14.43
Auchtermuchty,"2,093","1,037","1,056","2,062",31,17,63,33.4
Auldearn,643,327,316,643,-,5,26,24.47
Aviemore,"3,147","1,567","1,580","3,036",111,30,304,10.35
Avoch,"1,052",484,568,"1,052",-,16,51,20.75
Avonbridge,637,278,359,637,-,1,24,26.39
Ayr,"61,750","29,186","32,564","60,896",854,583,"2,327",26.53
Ayton,535,262,273,535,-,8,34,15.65
Balfron,"1,890",876,"1,014","1,881",9,34,83,22.72
Balintore,"1,039",504,535,"1,039",-,7,57,18.37
Ballachulish,666,323,343,639,27,6,82,8.11
Ballater,"1,533",718,815,"1,485",48,23,94,16.34
"Ballingry, Lochore and Crosshill","5,655","2,715","2,940","5,567",88,21,142,39.87
Balmedie,"2,534","1,281","1,253","2,534",-,15,87,29.21
Balmullo,"1,405",667,738,"1,405",-,21,54,26.12
Banchory,"7,278","3,573","3,705","7,230",48,189,325,22.39
Banff,"4,082","1,965","2,117","4,003",79,31,146,28.03
Bankfoot,"1,257",614,643,"1,257",-,18,56,22.43
Bathgate,"25,701","12,440","13,261","25,615",86,121,874,29.42
Beauly,"1,365",652,713,"1,353",12,16,106,12.92
Beith,"6,204","2,972","3,232","6,100",104,31,312,19.9
Bellsbank,"1,374",650,724,"1,374",-,2,42,32.39
Biggar,"2,294","1,067","1,227","2,257",37,15,98,23.51
Bilston,"1,120",542,578,"1,120",-,9,190,5.91
Birkhill and Muirhead,"2,087",992,"1,095","2,087",-,18,131,15.9
Bishopton,"4,708","2,349","2,359","4,708",-,26,136,34.67
Blackburn (Aberdeenshire),"2,960","1,512","1,448","2,960",-,14,85,34.86
Blackford,754,368,386,754,-,10,32,23.62
Blackridge,"1,953",947,"1,006","1,953",-,2,109,17.98
Blairgowrie,"8,954","4,240","4,714","8,776",178,75,531,16.87
Blairhall,927,457,470,927,-,6,31,29.97
Boddam,"1,274",652,622,"1,272",2,6,66,19.25
Bo'ness,"14,868","7,287","7,581","14,786",82,83,644,23.09
Bonnybridge,"24,975","12,172","12,803","24,797",178,99,730,34.21
Bowmore,784,369,415,763,21,8,40,19.62
Braco,572,276,296,572,-,4,25,22.67
Brae,716,368,348,700,16,14,180,3.97
Braidwood,569,275,294,569,-,2,51,11.23
Brechin,"7,481","3,608","3,873","7,407",74,43,301,24.87
Bridge of Earn,"2,709","1,225","1,484","2,538",171,29,120,22.61
Bridge of Weir,"4,884","2,410","2,474","4,884",-,63,220,22.2
Bridgend,772,384,388,772,-,4,24,31.85
Broadford,747,393,354,715,32,5,262,2.85
Brodick,848,406,442,818,30,16,136,6.25
Brookfield,553,262,291,553,-,7,39,14.17
Brora,"1,282",600,682,"1,282",-,12,116,11.08
Broxburn,"15,296","7,454","7,842","15,147",149,55,521,29.37
Buchlyvie,519,245,274,519,-,1,22,23.88
Buckhaven,"30,964","14,889","16,075","30,719",245,135,"1,239",25
Buckie,"8,273","3,980","4,293","8,154",119,88,341,24.29
Burghead,"1,945",982,963,"1,935",10,16,79,24.53
Burntisland,"6,269","3,022","3,247","6,238",31,53,220,28.47
Burrelton,671,333,338,670,1,4,65,10.36
Cairnbulg and Inverallochy,"1,375",658,717,"1,375",-,14,38,36.18
Cairneyhill,"2,465","1,207","1,258","2,465",-,43,56,43.82
Caldercruix,"2,510","1,183","1,327","2,510",-,5,57,44.02
California,810,405,405,810,-,5,31,25.77
Callander,"3,077","1,443","1,634","2,965",112,38,164,18.71
Campbeltown,"4,852","2,324","2,528","4,777",75,56,223,21.73
Cardenden and Dundonald,"5,533","2,624","2,909","5,499",34,14,142,38.94
Cardrona,883,436,447,883,-,17,26,34.47
Cardross,"2,193","1,084","1,109","2,175",18,22,87,25.13
Cargenbridge,575,282,293,575,-,4,32,17.88
Carluke,"13,579","6,549","7,030","13,456",123,42,445,30.52
Carnoustie,"11,394","5,399","5,995","11,306",88,89,343,33.18
Carnwath,"1,413",658,755,"1,411",2,13,78,18.12
Carstairs,914,470,444,914,-,3,27,34.26
Carstairs Junction,747,356,391,747,-,-,34,22.25
Castle Douglas,"4,174","1,979","2,195","4,119",55,48,188,22.16
Castletown,846,426,420,846,-,11,47,17.82
Catrine,"2,236","1,111","1,125","2,236",-,7,77,29
Ceres,969,449,520,969,-,23,46,21.29
Chapelton,643,314,329,643,-,2,22,29.22
Chirnside,"1,459",717,742,"1,459",-,4,63,23.32
Chryston,"4,282","2,011","2,271","4,241",41,8,185,23.18
Clackmannan,"3,442","1,643","1,799","3,436",6,15,105,32.93
