Postcode,All people,Males,Females,Lives in a household,Lives in a communal establishment,Schoolchild or full-time student aged 4 and over at their non term-time address,Area (hectares),Density (number of persons per hectare)
AB10 1,"2,284","1,184","1,100","2,280",4,13,73,31.13
AB10 6,"10,737","5,446","5,291","10,594",143,88,166,64.57
AB10 7,"8,987","4,322","4,665","8,800",187,46,224,40.08
AB11 5,"1,855","1,005",850,"1,854",1,15,123,15.08
AB11 6,"6,424","3,490","2,934","6,149",275,27,74,86.99
AB11 7,"2,616","1,345","1,271","2,590",26,32,61,42.62
AB11 8,"6,821","3,366","3,455","6,589",232,17,111,61.19
AB11 9,"3,471","1,799","1,672","3,426",45,7,141,24.6
AB12 3 (part) Aberdeen City,"8,171","4,033","4,138","8,111",60,27,"1,354",6.04
AB12 3 (part) Aberdeenshire,149,74,75,149,-,6,70,2.13
AB12 4,"8,109","4,022","4,087","8,050",59,42,"1,545",5.25
AB12 5 (part) Aberdeen City,"7,699","3,601","4,098","7,652",47,15,183,42.15
AB12 5 (part) Aberdeenshire,"1,426",711,715,"1,356",70,55,"4,106",0.35
AB13 0,"2,640","1,294","1,346","2,511",129,73,744,3.55
AB14 0 (part) Aberdeen City,"5,060","2,465","2,595","4,894",166,73,"2,087",2.43
AB15 4,"4,388","2,229","2,159","4,312",76,121,128,34.29
AB15 5,"3,886","1,894","1,992","3,871",15,82,86,44.97
AB15 6,"5,755","2,768","2,987","5,664",91,34,196,29.43
AB15 7,"5,121","2,418","2,703","5,117",4,49,156,32.73
AB15 8 (part) Aberdeen City,"9,030","4,336","4,694","8,870",160,104,"2,263",3.99
AB15 8 (part) Aberdeenshire,150,71,79,150,-,2,545,0.28
AB15 9,"7,297","3,558","3,739","6,962",335,208,"1,525",4.78
AB16 5,"10,245","4,819","5,426","10,217",28,25,183,55.88
AB16 6,"7,806","3,683","4,123","7,806",-,14,130,60.06
AB16 7,"11,194","5,429","5,765","11,107",87,37,200,55.99
AB21 0 (part) Aberdeen City,467,227,240,467,-,7,"1,949",0.24
AB21 0 (part) Aberdeenshire,"7,841","3,909","3,932","7,838",3,67,"7,595",1.03
AB21 7 (part) Aberdeen City,"5,617","2,752","2,865","5,519",98,16,601,9.34
AB21 7 (part) Aberdeenshire,395,204,191,395,-,3,"1,545",0.26
AB21 9,"8,012","3,936","4,076","7,778",234,31,"1,829",4.38
AB22 8,"16,331","8,064","8,267","16,088",243,75,"1,432",11.4
AB23 8 (part) Aberdeen City,"6,185","3,104","3,081","6,102",83,17,"1,464",4.22
AB23 8 (part) Aberdeenshire,"5,082","2,584","2,498","5,052",30,31,"5,080",1
AB24 1,"6,770","3,293","3,477","4,665","2,105",42,227,29.82
AB24 2,"7,422","3,793","3,629","7,375",47,17,143,51.83
AB24 3,"6,991","3,672","3,319","6,214",777,45,135,51.71
AB24 4,"6,365","3,109","3,256","6,349",16,18,118,53.73
AB24 5,"8,749","4,363","4,386","7,382","1,367",33,153,57.12
AB25 1,"6,025","2,970","3,055","4,703","1,322",40,60,100.7
AB25 2,"6,405","3,269","3,136","6,281",124,66,156,41.02
AB25 3,"5,967","3,086","2,881","5,944",23,16,90,66.07
AB30 1 (part) Aberdeenshire,"7,165","3,580","3,585","7,069",96,92,"28,978",0.25
AB30 1 (part) Angus,64,34,30,57,7,-,559,0.11
AB31 4,"4,627","2,278","2,349","4,499",128,136,"16,156",0.29
AB31 5 (part) Aberdeenshire,"8,655","4,261","4,394","8,615",40,191,"6,802",1.27
AB31 6,"2,048","1,020","1,028","2,046",2,74,"30,679",0.07
AB32 6 (part) Aberdeenshire,"12,032","5,856","6,176","11,970",62,128,"5,482",2.19
AB32 7,858,421,437,858,-,13,"4,118",0.21
AB33 8,"5,340","2,700","2,640","5,300",40,95,"30,594",0.17
AB34 4,"1,202",605,597,"1,149",53,15,"6,509",0.18
AB34 5,"4,172","2,033","2,139","4,112",60,96,"28,260",0.15
AB35 5,"2,643","1,293","1,350","2,534",109,44,"100,980",0.03
AB36 8,471,249,222,468,3,10,"25,003",0.02
AB37 9 (part) Moray,"1,519",783,736,"1,515",4,16,"53,365",0.03
AB38 7,"2,166","1,053","1,113","2,159",7,28,"14,596",0.15
AB38 9,"2,461","1,200","1,261","2,417",44,48,"7,977",0.31
AB39 2,"11,602","5,637","5,965","11,419",183,146,"3,532",3.28
AB39 3,"6,049","3,015","3,034","6,046",3,70,"17,611",0.34
AB41 6,"2,966","1,499","1,467","2,960",6,50,"6,785",0.44
AB41 7,"4,935","2,480","2,455","4,935",-,73,"12,253",0.4
AB41 8,"4,999","2,539","2,460","4,989",10,50,"18,230",0.27
AB41 9,"7,873","3,807","4,066","7,750",123,54,314,25.11
AB42 0,"3,363","1,677","1,686","3,331",32,28,"7,490",0.45
AB42 1,"9,303","4,646","4,657","9,117",186,40,293,31.73
AB42 2,"8,454","4,166","4,288","8,259",195,41,390,21.68
AB42 3,"4,153","2,113","2,040","4,128",25,35,"8,332",0.5
AB42 4,"3,737","1,890","1,847","3,732",5,36,"10,426",0.36
AB42 5,"4,739","2,293","2,446","4,738",1,61,"9,527",0.5
AB43 6,"3,214","1,614","1,600","3,208",6,12,"12,633",0.25
AB43 7,"4,066","2,038","2,028","4,065",1,25,"8,261",0.49
AB43 8,"4,409","2,149","2,260","4,352",57,51,"8,357",0.53
AB43 9,"12,309","6,033","6,276","12,144",165,93,388,31.7
AB44 1,"4,009","1,984","2,025","3,995",14,31,131,30.66
AB45 1,"4,016","1,935","2,081","3,937",79,31,144,27.95
AB45 2 (part) Aberdeenshire,"4,519","2,231","2,288","4,479",40,39,"10,532",0.43
AB45 3,"2,489","1,263","1,226","2,447",42,36,"15,876",0.16
AB51 0,"11,065","5,506","5,559","11,013",52,117,"16,844",0.66
AB51 3,"4,920","2,323","2,597","4,827",93,40,193,25.48
AB51 4,"6,299","3,146","3,153","6,276",23,47,185,34.03
AB51 5,"7,226","3,616","3,610","7,172",54,120,"11,091",0.65
AB51 6,671,323,348,671,-,3,80,8.43
AB51 7,"2,144","1,070","1,074","2,144",-,54,"13,195",0.16
AB51 8,"2,279","1,154","1,125","2,255",24,24,"8,402",0.27
AB52 6,"4,808","2,401","2,407","4,767",41,61,"15,986",0.3
AB53 4,"6,139","2,983","3,156","6,084",55,58,"8,715",0.7
AB53 5,"2,153","1,094","1,059","2,143",10,23,"10,409",0.21
AB53 6,"1,473",735,738,"1,449",24,11,"5,456",0.27
AB53 8,"2,792","1,407","1,385","2,750",42,43,"15,952",0.18
AB54 4 (part) Aberdeenshire,"3,178","1,605","1,573","3,176",2,49,"38,410",0.08
AB54 4 (part) Moray,69,33,36,69,-,-,"13,016",0.01
AB54 6,"1,050",523,527,"1,050",-,15,"10,627",0.1
AB54 7 (part) Aberdeenshire,"2,052","1,041","1,011","2,049",3,18,"8,320",0.25
AB54 7 (part) Moray,635,317,318,635,-,13,"4,434",0.14
AB54 8,"4,523","2,154","2,369","4,432",91,35,170,26.65
AB55 4,"2,183","1,092","1,091","2,171",12,23,"14,223",0.15
AB55 5 (part) Moray,"5,187","2,524","2,663","5,104",83,45,"6,371",0.81
AB55 6,"1,961",990,971,"1,961",-,30,"18,500",0.11
AB56 1,"8,437","4,050","4,387","8,318",119,88,504,16.74
AB56 4 (part) Aberdeenshire,167,78,89,136,31,3,"1,432",0.12
AB56 4 (part) Moray,"4,376","2,149","2,227","4,334",42,52,"2,832",1.55
AB56 5,"1,950",978,972,"1,950",-,27,"9,877",0.2
DD1 1,"1,318",741,577,"1,042",276,7,34,38.56
DD1 2,"2,109","1,076","1,033","2,000",109,6,28,74.4
DD1 3,"1,547",830,717,"1,547",-,3,70,21.96
DD1 4,"3,545","1,589","1,956","2,619",926,23,99,35.85
DD1 5,"5,200","2,580","2,620","3,193","2,007",28,67,77.94
DD10 0,"5,975","2,975","3,000","5,946",29,61,"8,641",0.69
DD10 8,"7,194","3,444","3,750","7,047",147,37,252,28.54
DD10 9,"8,780","4,361","4,419","8,742",38,70,"8,145",1.08
DD11 1,"5,851","2,859","2,992","5,777",74,26,162,36.17
DD11 2,"5,331","2,604","2,727","5,223",108,69,"6,508",0.82
DD11 3,"4,137","1,997","2,140","4,001",136,33,"2,549",1.62
DD11 4,"7,490","3,666","3,824","7,486",4,60,"6,195",1.21
DD11 5,"6,067","2,820","3,247","5,973",94,33,"3,726",1.63
DD2 1,"8,558","4,122","4,436","8,246",312,140,383,22.33
DD2 2,"8,214","3,960","4,254","8,108",106,38,206,39.84
DD2 3,"6,883","3,262","3,621","6,857",26,21,291,23.64
DD2 4,"10,458","4,896","5,562","10,284",174,28,400,26.15
DD2 5 (part) Angus,"3,576","1,721","1,855","3,576",-,48,"4,001",0.89
DD2 5 (part) Dundee City,778,372,406,666,112,5,490,1.59
DD2 5 (part) Perth & Kinross,"3,362","1,681","1,681","3,202",160,21,"1,958",1.72
DD3 0 (part) Angus,"1,353",677,676,"1,353",-,21,"3,844",0.35
DD3 0 (part) Dundee City,"6,077","2,889","3,188","6,017",60,15,171,35.46
DD3 6,"7,699","3,759","3,940","7,573",126,31,185,41.57
DD3 7,"7,043","3,641","3,402","6,985",58,17,105,67.2
DD3 8,"6,527","3,137","3,390","6,494",33,32,238,27.44
DD3 9 (part) Dundee City,"8,286","3,977","4,309","8,260",26,20,571,14.52
DD4 0 (part) Angus,"1,049",515,534,"1,049",-,3,"3,836",0.27
